Path,ACE,Ql,Qu
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'Combination_method_local']",1.1545047489824043,0.17779880604837076,3.9448966436508264
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Combination_method_local']",1.1545047489824043,4.403980030754727,3.1298152614536234
"['Mission_success', 'Mission_time', 'Goal_distance_bias']",1.1136101789850652,0.7611614197953922,1.580427243081595
"['Mission_success', 'Goal_distance_bias']",1.1136101789850652,0.9404986577621232,1.3441377331580608
"['Mission_success', 'recovery_executed', 'Goal_distance_bias']",1.1136101789850652,0.9019193495719008,1.5557749157823213
"['Mission_success', 'RNS', 'recovery_executed', 'Goal_distance_bias']",1.1136101789850652,0.6184474762685314,1.4944489229909497
"['Mission_success', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'Goal_distance_bias']",1.1136101789850652,0.5468066672325531,1.2067291598106258
"['Mission_success', 'Mission_time', 'Traveled_distance', 'Goal_distance_bias']",1.1136101789850652,1.201413469673155,1.5854276292337994
"['Mission_success', 'Mission_time', 'recovery_executed', 'Goal_distance_bias']",1.1136101789850652,0.44726457819151394,1.9745851232956293
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'Cost_scaling_factor_local']",0.7403909364279713,0.3642511365369415,0.906018563130236
"['Battery_percentage', 'Traveled_distance', 'Cost_scaling_factor_local']",0.7403909364279713,0.7209231589875842,0.8486773513953466
"['Battery_percentage', 'Mission_time', 'Cost_scaling_factor_local']",0.7403909364279713,0.6274358976297278,0.8992126399800597
"['Battery_percentage', 'Traveled_distance', 'Publish_frequency_local']",0.6887184576127083,0.09236824880294564,2.082567297062416
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'Publish_frequency_local']",0.6887184576127083,1.6441965901489852,1.9214133935135136
"['Battery_percentage', 'Publish_frequency_local']",0.6887184576127083,0.06364427778539294,2.429996438584412
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Transform_tolerance_global']",0.587501099957322,0.2692236100916517,3.0017096013928453
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'Transform_tolerance_global']",0.587501099957322,0.427977721712108,1.919646422377484
"['Battery_percentage', 'Error_rotating_goal', 'Transform_tolerance_global']",0.587501099957322,3.175591897803467,0.11745316753105475
"['Battery_percentage', 'Transform_tolerance_global']",0.587501099957322,1.9809024338417769,0.8356118451087824
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'Transform_tolerance_global']",0.587501099957322,2.1175987707583714,3.098360392994457
"['Mission_success', 'Transform_tolerance_local']",0.4806597238395606,0.5072966849113902,0.3361076708065152
"['Mission_success', 'Mission_time', 'Traveled_distance', 'Transform_tolerance_local']",0.4806597238395606,0.6609262638423588,0.06455983099424899
"['Mission_success', 'Mission_time', 'Transform_tolerance_local']",0.4806597238395606,0.7960613235210678,0.3525670980839629
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'Update_frequency_global']",0.4217964533538776,0.6748967492390108,0.5799371607355865
"['Battery_percentage', 'Update_frequency_global']",0.4217964533538776,1.4502376705017042,1.1043071093752872
"['Battery_percentage', 'Traveled_distance', 'Update_frequency_global']",0.4217964533538776,0.7289124044022329,1.4058816430794792
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,21.191611788103387,6.342603986149566
"['Battery_percentage', 'Mission_time', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,0.4175817823133002,10.750296539579411
"['Battery_percentage', 'Traveled_distance', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,11.960367444255581,15.08294516501878
"['Battery_percentage', 'RNS', 'Error_rotating_goal', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,7.768347849436228,10.68860270380984
"['Battery_percentage', 'RNS', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,3.8753213913433697,12.951382045958596
"['Battery_percentage', 'Mission_time', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,17.279574617265293,4.369506204093435
"['Battery_percentage', 'Error_rotating_goal', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,16.298892511969008,34.221501993487394
"['Battery_percentage', 'Traveled_distance', 'RNS', 'recovery_executed', 'DWA_new_plan', 'min_vel_x']",0.2078508329125981,17.724283075776942,14.72584211421412
"['Battery_percentage', 'min_vel_x']",0.2078508329125981,0.5712290719087534,10.259566033081043
"['Battery_percentage', 'Mission_time', 'Cost_scaling_factor_global']",0.16732292327706946,0.42940815532784027,0.0932062401889283
"['Battery_percentage', 'Cost_scaling_factor_global']",0.16732292327706946,0.3844675321113571,0.026605665063931375
