Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,recovery_executed,Error_rotating_goal,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
9,14,15,1.21,0,28,0.65,8,15,1,1.29,32.6,15.77,0.21,0.06,0.18,0.05,-0.07,461,968,7,155,0.4,10.58,175.08,81.89,0
22,11,9,2.88,0,30,0.26,20,12,0,3.3,28.36,19.75,0.37,0.02,0.19,0.19,-0.17,0,819,3,154,0.8,13.79,166.84,77.75,0
11,6,2,4.99,0,22,0.86,12,1,0,4.47,47.47,32.04,0.11,0.04,0.16,0.06,-0.23,2,652,2,0,1,14.88,154.03,81.25,1
26,1,15,1.69,0,1,0.31,10,1,0,3.52,34.3,29.9,0.3,0.05,0.15,0.12,-0.16,8,1962,9,161,0.4,26.74,434.2,36.72,0
4,17,4,3.4,1,7,0.32,4,5,1,3.82,47.29,7.09,0.08,0.03,0.25,0.01,-0.1,770,1241,9,0,0.2,12.96,240.63,73.22,0
15,16,6,4.11,0,10,0.15,6,9,1,2.23,19.03,17.77,0.42,0.03,0.13,0.06,-0.06,779,814,10,0,0,1.17,98.69,95.11,0
12,20,8,2.4,1,29,0.9,1,15,1,1.31,32.32,30.61,0.4,0.08,0.11,0.2,-0.21,0,321,0,0,1,10.08,74.48,86.32,1
7,19,10,2.52,1,28,0.93,11,5,1,1.84,29.88,39.82,0.49,0.09,0.15,0.08,-0.11,0,549,2,155,0.8,11.17,106.21,86.83,0
21,15,7,3.15,0,2,0.4,8,20,0,4.21,35.03,18.59,0.26,0.03,0.28,0.15,-0.26,2,2064,12,155,0.4,27.02,474.56,29.92,0
12,8,18,1.62,0,18,0.13,1,9,0,3.26,37.74,21.6,0.22,0.07,0.09,0.06,-0.17,0,553,2,155,0.8,11.36,106.39,86.83,0
