Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Footprint_padding_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Footprint_padding_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Collisions,Mission_time,Battery_percentage,Mission_success
11,7,3,1.28,0.02,1,17,1,4,1,0,0.88,0.01,0.16,1.31,0.05,0.26,0.24,0.18,-0.29,0,5,0,0,0,0,0,0,2.65E-05,1.32E-05,8.72E-06,0.16,1,17.2,0,89.07,72.17,1
15,6,2,1.24,0.01,0,15,3,4,3,1,0.59,0.04,0.79,1.34,0.02,0.3,0.19,0.21,-0.17,83,87,0,2,2,0,0,0,4.05E-05,2.03E-05,1.25E-05,0.17,0.8,12.54,0,72.32,83.63,0
18,6,1,1.3,0.02,1,19,5,4,3,0,1.43,0.03,0.47,0.53,0.04,0.22,0.16,0.4,-0.01,158,161,0,4,4,0,0,0,7.85E-05,3.93E-05,2.39E-05,0.38,0.6,9.67,0,76.3,87.98,0
4,4,3,1.95,0.03,1,11,5,6,3,1,1.16,0.01,0.74,1.45,0.01,0.16,0.13,0.39,-0.17,0,5,0,0,0,0,0,0,5.86E-05,2.93E-05,1.82E-05,0.37,1,14.22,0,43.56,87.73,1
1,5,3,0.3,0.01,1,10,6,4,4,0,0.58,0.03,0.81,0.61,0.02,0.22,0.11,0.21,-0.18,1,6,0,0,0,0,0,0,3.84E-05,1.92E-05,1.17E-05,0.19,1,15.05,0,58.71,82.64,1
18,4,1,1.66,0.02,0,11,6,5,3,0,1.96,0.02,0.15,0.96,0.02,0.27,0.2,0.27,-0.2,86,90,0,2,2,0,0,0,5.08E-05,2.54E-05,1.53E-05,0.24,0.8,13.24,0,67.41,85.66,0
11,5,4,0.91,0.04,1,20,3,6,3,1,1.17,0.04,0.1,0.57,0.03,0.24,0.19,0.37,-0.2,0,5,0,0,0,0,0,0,3.93E-05,1.96E-05,1.23E-05,0.34,1,14.97,0,57.91,82.8,1
14,4,4,1.45,0.03,1,8,1,4,4,0,0.7,0.03,0.9,0.59,0.03,0.17,0.19,0.33,-0.15,0,5,0,0,0,0,0,0,2.71E-05,1.36E-05,9.05E-06,0.31,1,15.4,0,58.58,82.77,1
9,7,3,0.4,0.04,1,5,4,6,1,1,0.56,0.04,0.61,0.91,0.04,0.27,0.1,0.3,-0.01,82,86,0,2,2,0,0,0,2.94E-05,1.47E-05,1.05E-05,0.27,0.8,12.92,0,73.59,83.29,0
5,6,1,0.89,0.03,1,1,9,7,3,0,1.71,0.05,0.3,0.78,0.03,0.16,0.28,0.39,-0.12,159,162,0,4,4,0,0,0,3.81E-05,1.9E-05,1.24E-05,0.36,0.6,9.4,0,73.43,88.81,0
